Identifier	Synonym
Cre08.g359166	
Cre08.g358751	ZMYND10
Cre08.g361500	
Cre08.g383400	SRR11
Cre08.g366250	
Cre08.g385000	
Cre08.g358800	
Cre08.g379000	
Cre08.g376400	
Cre08.g379300	
Cre08.g382650	UBQ4
Cre08.g364100	
Cre08.g378050	NUOP5
Cre08.g381350	
Cre08.g382050	
Cre08.g380250	CP12
Cre08.g375250	MRPS19
Cre08.g375600	
Cre08.g373348	
Cre08.g358552	
Cre08.g362600	
Cre08.g364151	
Cre08.g364300	FAP29
Cre08.g365750	
Cre08.g368600	
Cre08.g384390	POLQ2
Cre08.g370601	
Cre08.g385950	
Cre08.g378400	
Cre08.g365351	
Cre08.g360650	
Cre08.g373371	
Cre08.g374050	POLD2
Cre08.g367250	FAP176
Cre08.g358559	
Cre08.g383101	FAP324
Cre08.g362550	VPS37
Cre08.g377750	
Cre08.g358525	
Cre08.g385650	
Cre08.g369650	
Cre08.g383750	
Cre08.g382150	
Cre08.g373377	
Cre08.g359750	RPS9
Cre08.g371751	
Cre08.g361800	RPC31
Cre08.g377100	ADK6
Cre08.g376900	
Cre08.g375801	
Cre08.g363500	
Cre08.g379700	PHM1
Cre08.g361150	
Cre08.g377000	
Cre08.g358548	
Cre08.g374450	
Cre08.g381150	
Cre08.g362100	FAP154
Cre08.g359133	
Cre08.g358532	
Cre08.g373366	
Cre08.g369667	
Cre08.g372250	
Cre08.g358580	CMP1
Cre08.g371000	
Cre08.g358126	
Cre08.g383600	SRR21
Cre08.g358579	
Cre08.g374000	
Cre08.g361050	CNX3
Cre08.g366500	
Cre08.g363000	
Cre08.g362850	
Cre08.g370750	
Cre08.g385150	
Cre08.g358400	
Cre08.g358574	
Cre08.g382850	LYR2
Cre08.g372600	
Cre08.g367500	LHCSR3.1
Cre08.g358573	
Cre08.g365632	
Cre08.g366050	
Cre08.g374800	
Cre08.g374926	
Cre08.g360150	
Cre08.g364850	
Cre08.g381075	
Cre08.g384500	
Cre08.g368226	
Cre08.g375150	
Cre08.g371301	
Cre08.g384864	
Cre08.g359000	
Cre08.g380100	
Cre08.g378950	
Cre08.g365205	FAP322
Cre08.g380850	
Cre45.g760847	
Cre45.g760897	
Cre45.g760797	
Cre23.g754647	
Cre23.g754297	
Cre23.g754847	
Cre23.g754597	
Cre23.g754397	
Cre23.g754697	
Cre23.g755047	
Cre23.g754947	
Cre23.g754747	
Cre23.g754997	
Cre23.g754497	
Cre23.g754347	
Cre23.g754897	
Cre23.g754547	
Cre23.g754447	
Cre23.g754797	
Cre07.g334200	HEL38
Cre07.g315000	CSG6
Cre07.g325748	
Cre07.g319452	PHC73
Cre07.g346525	
Cre07.g319300	GWD1
Cre07.g330276	
Cre07.g324700	
Cre07.g342850	DCC3
Cre07.g341650	
Cre07.g355800	
Cre07.g325050	ELG15
Cre07.g341251	
Cre07.g341000	
Cre07.g352213	
Cre07.g343150	
Cre07.g348951	
Cre07.g315326	
Cre07.g312750	CSL4
Cre07.g345031	
Cre07.g356550	
Cre07.g325740	PTB3
Cre07.g347050	RSP7
Cre07.g353550	SUI1B
Cre07.g347650	
Cre07.g325756	
Cre07.g338800	CGL125
Cre07.g329250	
Cre07.g354800	
Cre07.g338451	FBP1
Cre07.g334776	
